,date,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,match_week,ref_id,ref_name,match_url
68351,2006-02-25,38,2005/2006,395,Real Zaragoza,217,Barcelona,0,2,25,1005,Victor José Esquinas Torres,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68351.json
68352,2005-04-17,37,2004/2005,217,Barcelona,216,Getafe,2,0,32,995,Puentes Leira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68352.json
68353,2004-10-16,37,2004/2005,214,Espanyol,217,Barcelona,0,1,7,996,Carlos Megía Dávila,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68353.json
68354,2005-11-27,38,2005/2006,217,Barcelona,1217,Racing Santander,4,1,13,1000,Rafael Ramírez Domínguez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68354.json
68356,2007-12-01,40,2007/2008,214,Espanyol,217,Barcelona,1,1,14,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68356.json
68358,2008-04-12,40,2007/2008,1220,Recreativo Huelva,217,Barcelona,2,2,32,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68358.json
68359,2008-04-19,40,2007/2008,217,Barcelona,214,Espanyol,0,0,33,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68359.json
68360,2008-02-24,40,2007/2008,217,Barcelona,221,Levante,5,1,25,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68360.json
68361,2008-05-07,40,2007/2008,220,Real Madrid,217,Barcelona,4,1,36,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68361.json
68363,2007-11-01,40,2007/2008,901,Real Valladolid,217,Barcelona,1,1,10,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68363.json
68364,2007-10-20,40,2007/2008,222,Villarreal,217,Barcelona,3,1,8,668,Mejuto ,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68364.json
68365,2008-03-01,40,2007/2008,212,Atlético Madrid,217,Barcelona,4,2,26,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68365.json
68366,2008-05-11,40,2007/2008,217,Barcelona,1043,Mallorca,2,3,37,1010,Antonio Rubinos Perez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68366.json
69138,2008-09-21,41,2008/2009,1041,Sporting Gijón,217,Barcelona,1,6,3,996,Carlos Megía Dávila,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69138.json
69139,2009-02-21,41,2008/2009,217,Barcelona,214,Espanyol,1,2,24,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69139.json
69141,2008-05-04,40,2007/2008,217,Barcelona,207,Valencia,6,0,35,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69141.json
69142,2009-03-22,41,2008/2009,217,Barcelona,223,Málaga,6,0,28,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69142.json
69143,2007-09-26,40,2007/2008,217,Barcelona,395,Real Zaragoza,4,1,5,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69143.json
69144,2007-10-07,40,2007/2008,217,Barcelona,212,Atlético Madrid,3,0,7,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69144.json
69145,2007-12-15,40,2007/2008,207,Valencia,217,Barcelona,0,3,16,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69145.json
69146,2008-02-09,40,2007/2008,213,Sevilla,217,Barcelona,1,1,23,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69146.json
69147,2008-08-31,41,2008/2009,444,Numancia,217,Barcelona,1,0,1,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69147.json
69148,2007-09-22,40,2007/2008,217,Barcelona,213,Sevilla,2,1,4,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69148.json
69149,2008-12-06,41,2008/2009,217,Barcelona,207,Valencia,4,0,14,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69149.json
69151,2007-09-29,40,2007/2008,221,Levante,217,Barcelona,1,4,6,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69151.json
69153,2004-12-11,37,2004/2005,608,Albacete,217,Barcelona,1,2,15,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69153.json
69154,2007-02-11,39,2006/2007,217,Barcelona,1217,Racing Santander,2,0,22,668,Mejuto ,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69154.json
69155,2007-04-22,39,2006/2007,222,Villarreal,217,Barcelona,2,0,31,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69155.json
69156,2007-04-29,39,2006/2007,217,Barcelona,221,Levante,1,0,32,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69156.json
69157,2007-05-26,39,2006/2007,217,Barcelona,216,Getafe,1,0,36,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69157.json
69158,2007-10-28,40,2007/2008,217,Barcelona,403,Almería,2,0,9,1009,Miguel Ayza,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69158.json
69159,2007-04-15,39,2006/2007,217,Barcelona,1043,Mallorca,1,0,30,1000,Rafael Ramírez Domínguez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69159.json
69160,2007-05-05,39,2006/2007,210,Real Sociedad,217,Barcelona,0,2,33,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69160.json
69162,2007-05-13,39,2006/2007,217,Barcelona,218,Real Betis,1,1,34,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69162.json
69164,2005-10-26,38,2005/2006,217,Barcelona,223,Málaga,2,0,11,995,Puentes Leira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69164.json
69165,2007-06-09,39,2006/2007,217,Barcelona,214,Espanyol,2,2,37,1006,Julian Rodriguez Santiago,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69165.json
69166,2007-11-04,40,2007/2008,217,Barcelona,218,Real Betis,3,0,11,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69166.json
69169,2007-09-02,40,2007/2008,217,Barcelona,215,Athletic Bilbao,3,1,2,996,Carlos Megía Dávila,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69169.json
69170,2007-12-09,40,2007/2008,217,Barcelona,219,Deportivo La Coruna,2,1,15,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69170.json
69171,2008-11-29,41,2008/2009,213,Sevilla,217,Barcelona,0,3,13,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69171.json
69172,2006-02-18,38,2005/2006,217,Barcelona,218,Real Betis,5,1,24,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69172.json
69173,2008-01-20,40,2007/2008,217,Barcelona,1217,Racing Santander,1,0,20,1011,Luis Medina Cantalejo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69173.json
69174,2006-11-04,39,2006/2007,219,Deportivo La Coruna,217,Barcelona,1,1,9,1011,Luis Medina Cantalejo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69174.json
69175,2007-03-31,39,2006/2007,217,Barcelona,219,Deportivo La Coruna,2,1,28,1009,Miguel Ayza,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69175.json
69176,2007-05-20,39,2006/2007,212,Atlético Madrid,217,Barcelona,0,6,35,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69176.json
69177,2009-03-15,41,2008/2009,403,Almería,217,Barcelona,0,2,27,668,Mejuto ,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69177.json
69178,2007-11-10,40,2007/2008,216,Getafe,217,Barcelona,2,0,12,998,Arturo Daudén Ibáñez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69178.json
69179,2007-04-07,39,2006/2007,395,Real Zaragoza,217,Barcelona,1,0,29,1011,Luis Medina Cantalejo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69179.json
69180,2007-08-26,40,2007/2008,1217,Racing Santander,217,Barcelona,0,0,1,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69180.json
69181,2008-01-27,40,2007/2008,215,Athletic Bilbao,217,Barcelona,1,1,21,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69181.json
69182,2008-02-16,40,2007/2008,395,Real Zaragoza,217,Barcelona,1,2,24,1002,Bernardino Gonzalez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69182.json
69183,2009-01-17,41,2008/2009,217,Barcelona,219,Deportivo La Coruna,5,0,19,1006,Julian Rodriguez Santiago,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69183.json
69184,2007-11-24,40,2007/2008,217,Barcelona,1220,Recreativo Huelva,3,0,13,1010,Antonio Rubinos Perez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69184.json
69185,2009-03-01,41,2008/2009,212,Atlético Madrid,217,Barcelona,4,3,25,1002,Bernardino Gonzalez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69185.json
69186,2008-05-17,40,2007/2008,1230,Real Murcia,217,Barcelona,3,5,38,1000,Rafael Ramírez Domínguez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69186.json
69187,2008-02-03,40,2007/2008,217,Barcelona,422,Osasuna,1,0,22,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69187.json
69189,2009-01-24,41,2008/2009,217,Barcelona,444,Numancia,4,1,20,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69189.json
69195,2009-02-14,41,2008/2009,218,Real Betis,217,Barcelona,2,2,23,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69195.json
69207,2008-09-24,41,2008/2009,217,Barcelona,218,Real Betis,3,2,4,998,Arturo Daudén Ibáñez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69207.json
69209,2009-02-01,41,2008/2009,1217,Racing Santander,217,Barcelona,1,2,21,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69209.json
69210,2010-01-23,21,2009/2010,901,Real Valladolid,217,Barcelona,0,3,19,1000,Rafael Ramírez Domínguez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69210.json
69211,2008-09-27,41,2008/2009,214,Espanyol,217,Barcelona,1,2,5,1011,Luis Medina Cantalejo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69211.json
69212,2008-10-04,41,2008/2009,217,Barcelona,212,Atlético Madrid,6,1,6,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69212.json
69213,2010-04-17,21,2009/2010,214,Espanyol,217,Barcelona,0,0,33,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69213.json
69214,2010-04-24,21,2009/2010,217,Barcelona,1219,Xerez,3,1,34,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69214.json
69215,2008-09-13,41,2008/2009,217,Barcelona,1217,Racing Santander,1,1,2,1000,Rafael Ramírez Domínguez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69215.json
69216,2009-03-07,41,2008/2009,217,Barcelona,215,Athletic Bilbao,2,0,26,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69216.json
69217,2009-05-10,41,2008/2009,217,Barcelona,222,Villarreal,3,3,35,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69217.json
69218,2009-12-05,21,2009/2010,219,Deportivo La Coruna,217,Barcelona,1,3,13,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69218.json
69219,2010-01-10,21,2009/2010,627,Tenerife,217,Barcelona,0,5,17,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69219.json
69220,2010-01-30,21,2009/2010,1041,Sporting Gijón,217,Barcelona,0,1,20,1013,José Paradas,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69220.json
69221,2010-04-14,21,2009/2010,217,Barcelona,219,Deportivo La Coruna,3,0,32,1013,José Paradas,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69221.json
69222,2009-04-11,41,2008/2009,217,Barcelona,1220,Recreativo Huelva,2,0,30,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69222.json
69223,2009-04-18,41,2008/2009,216,Getafe,217,Barcelona,0,1,31,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69223.json
69224,2010-03-14,21,2009/2010,217,Barcelona,207,Valencia,3,0,26,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69224.json
69225,2008-12-13,41,2008/2009,217,Barcelona,220,Real Madrid,2,0,15,1011,Luis Medina Cantalejo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69225.json
69226,2010-03-06,21,2009/2010,403,Almería,217,Barcelona,2,2,25,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69226.json
69227,2010-03-21,21,2009/2010,395,Real Zaragoza,217,Barcelona,2,4,27,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69227.json
69228,2008-12-21,41,2008/2009,222,Villarreal,217,Barcelona,1,2,16,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69228.json
69229,2009-09-12,21,2009/2010,216,Getafe,217,Barcelona,0,2,2,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69229.json
69230,2009-01-11,41,2008/2009,422,Osasuna,217,Barcelona,2,3,18,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69230.json
69231,2009-02-08,41,2008/2009,217,Barcelona,1041,Sporting Gijón,3,1,22,1010,Antonio Rubinos Perez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69231.json
69232,2008-10-25,41,2008/2009,217,Barcelona,403,Almería,5,0,8,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69232.json
69233,2010-02-20,21,2009/2010,217,Barcelona,1217,Racing Santander,4,0,23,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69233.json
69234,2011-05-08,22,2010/2011,217,Barcelona,214,Espanyol,2,0,35,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69234.json
69235,2008-11-01,41,2008/2009,223,Málaga,217,Barcelona,1,4,9,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69235.json
69236,2010-10-03,22,2010/2011,217,Barcelona,1043,Mallorca,1,1,6,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69236.json
69237,2010-02-14,21,2009/2010,212,Atlético Madrid,217,Barcelona,2,1,22,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69237.json
69238,2010-02-27,21,2009/2010,217,Barcelona,223,Málaga,2,1,24,1010,Antonio Rubinos Perez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69238.json
69239,2010-05-08,21,2009/2010,213,Sevilla,217,Barcelona,2,3,37,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69239.json
69240,2010-02-06,21,2009/2010,217,Barcelona,216,Getafe,2,1,21,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69240.json
69241,2010-05-04,21,2009/2010,217,Barcelona,627,Tenerife,4,1,36,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69241.json
69242,2010-05-16,21,2009/2010,217,Barcelona,901,Real Valladolid,4,0,38,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69242.json
69243,2010-01-16,21,2009/2010,217,Barcelona,213,Sevilla,4,0,18,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69243.json
69244,2010-05-01,21,2009/2010,222,Villarreal,217,Barcelona,1,4,35,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69244.json
69245,2011-04-16,22,2010/2011,220,Real Madrid,217,Barcelona,1,1,32,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69245.json
69246,2011-04-30,22,2010/2011,210,Real Sociedad,217,Barcelona,2,1,34,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69246.json
69247,2010-04-03,21,2009/2010,217,Barcelona,215,Athletic Bilbao,4,1,30,180,Antonio Mateu,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69247.json
69248,2011-02-12,22,2010/2011,1041,Sporting Gijón,217,Barcelona,1,1,23,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69248.json
69249,2009-05-02,41,2008/2009,220,Real Madrid,217,Barcelona,2,6,34,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69249.json
69250,2009-11-07,21,2009/2010,217,Barcelona,1043,Mallorca,4,2,10,1014,Jesús Benjumea,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69250.json
69251,2009-04-25,41,2008/2009,207,Valencia,217,Barcelona,2,2,33,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69251.json
69252,2009-10-17,21,2009/2010,207,Valencia,217,Barcelona,0,0,7,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69252.json
69253,2009-10-25,21,2009/2010,217,Barcelona,395,Real Zaragoza,6,1,8,1013,José Paradas,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69253.json
69254,2009-09-22,21,2009/2010,1217,Racing Santander,217,Barcelona,1,4,4,180,Antonio Mateu,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69254.json
69255,2009-09-26,21,2009/2010,223,Málaga,217,Barcelona,0,2,5,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69255.json
69256,2009-10-03,21,2009/2010,217,Barcelona,403,Almería,1,0,6,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69256.json
69257,2010-03-24,21,2009/2010,217,Barcelona,422,Osasuna,2,0,28,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69257.json
69259,2010-04-10,21,2009/2010,220,Real Madrid,217,Barcelona,0,2,31,668,Mejuto ,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69259.json
69260,2010-10-16,22,2010/2011,217,Barcelona,207,Valencia,2,1,7,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69260.json
69262,2009-11-29,21,2009/2010,217,Barcelona,220,Real Madrid,1,0,12,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69262.json
69263,2010-10-23,22,2010/2011,395,Real Zaragoza,217,Barcelona,0,2,8,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69263.json
69264,2011-09-10,23,2011/2012,210,Real Sociedad,217,Barcelona,2,2,3,180,Antonio Mateu,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69264.json
69265,2011-10-02,23,2011/2012,1041,Sporting Gijón,217,Barcelona,0,1,7,1008,Clos Gómez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69265.json
69267,2009-12-02,21,2009/2010,1219,Xerez,217,Barcelona,0,2,15,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69267.json
69268,2011-08-29,23,2011/2012,217,Barcelona,222,Villarreal,5,0,2,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69268.json
69269,2010-09-19,22,2010/2011,212,Atlético Madrid,217,Barcelona,1,2,3,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69269.json
69270,2010-11-07,22,2010/2011,216,Getafe,217,Barcelona,1,3,10,1009,Miguel Ayza,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69270.json
69271,2011-04-23,22,2010/2011,217,Barcelona,422,Osasuna,2,0,33,1012,Carlos Delgado,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69271.json
69272,2011-05-11,22,2010/2011,221,Levante,217,Barcelona,1,1,36,1013,José Paradas,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69272.json
69273,2009-04-04,41,2008/2009,901,Real Valladolid,217,Barcelona,0,1,29,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69273.json
69274,2011-03-02,22,2010/2011,207,Valencia,217,Barcelona,0,1,26,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69274.json
69275,2010-12-18,22,2010/2011,214,Espanyol,217,Barcelona,1,5,16,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69275.json
69276,2011-02-05,22,2010/2011,217,Barcelona,212,Atlético Madrid,3,0,22,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69276.json
69277,2009-10-31,21,2009/2010,422,Osasuna,217,Barcelona,1,1,9,1010,Antonio Rubinos Perez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69277.json
69278,2011-01-16,22,2010/2011,217,Barcelona,223,Málaga,4,1,19,211,José González,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/69278.json
